Experiment,R2,RMSE,N_Features,Delta_R2,Delta_RMSE
FULL MODEL (Baseline),0.8582047811164184,0.8281718592777073,1591,0.0,0.0
REMOVE: Morgan,0.8573837139412418,0.8305661685106919,567,-0.0008210671751766041,0.0023943092329845594
REMOVE: MACCS,0.859403511350479,0.824663765894467,1424,0.0011987302340605854,-0.0035080933832403183
REMOVE: Abraham,0.8574079465259647,0.8304956028669183,1586,-0.0007968345904536545,0.002323743589210947
REMOVE: AUTOCORR2D,0.8610965514617605,0.8196834939249157,1399,0.0028917703453420485,-0.008488365352791627
REMOVE: MOSE,0.8597927947173241,0.8235213105815673,1578,0.0015880136009056578,-0.004650548696140011
REMOVE: All Fingerprints (Morgan + MACCS),0.8577192049034249,0.8295886801868526,400,-0.0004855762129934993,0.0014168209091453
REMOVE: All Structural (Morgan + MACCS + MOSE),0.8582343477922638,0.8280855109308318,387,2.9566675845416057e-05,-8.634834687548665e-05
REMOVE: ALL BULK FEATURES,0.8565047102764392,0.8331217995924037,190,-0.0017000708399792508,0.004949940314696422
ONLY: Morgan,0.6968885375709473,1.2108514206735277,1024,-0.16131624354547114,0.3826795613958204
ONLY: MACCS,0.7449186597618985,1.1107824790858063,167,-0.11328612135451988,0.282610619808099
ONLY: Abraham,0.7811554327285415,1.0288630266799426,5,-0.07704934838787691,0.20069116740223525
ONLY: AUTOCORR2D,0.8177007887763397,0.9390356286703799,192,-0.04050399234007873,0.11086376939267262
ONLY: MOSE,0.6046307709902141,1.3829010571242821,13,-0.2535740101262043,0.5547291978465748
