Feature,N_Features,R2,RMSE,Delta_R2,Delta_RMSE,Impact
BASELINE (all valid features),356,0.8615084530270044,0.818467254914812,0.0,0.0,BASELINE
MaxAbsEStateIndex,355,0.8587529590943443,0.826569459689899,-0.002755493932660058,0.008102204775087052,LOW
MinAbsEStateIndex,355,0.8579937601947428,0.8287878765818185,-0.003514692832261579,0.010320621667006535,MEDIUM
MinEStateIndex,355,0.8577016779262727,0.8296397753964165,-0.0038067751007316852,0.011172520481604553,MEDIUM
qed,355,0.8584367012405181,0.8274943035623298,-0.003071751786486332,0.009027048647517799,LOW
MaxPartialCharge,355,0.8583898539700612,0.8276312127864497,-0.0031185990569432276,0.009163957871637707,LOW
MaxAbsPartialCharge,355,0.860190745036947,0.8223517792399181,-0.0013177079900573707,0.003884524325106109,LOW
PEOE_VSA1,355,0.8597953389327377,0.8235138386933972,-0.0017131140942666656,0.005046583778585245,LOW
PEOE_VSA10,355,0.8581560618533637,0.8283141223871586,-0.003352391173640723,0.009846867472346643,LOW
PEOE_VSA11,355,0.8572807943813803,0.8308658050052805,-0.004227658645624133,0.01239855009046853,MEDIUM
PEOE_VSA12,355,0.857284851569116,0.8308539950933024,-0.00422360145788836,0.012386740178490396,MEDIUM
PEOE_VSA13,355,0.8589811933657221,0.8259013828686032,-0.0025272596612823106,0.00743412795379117,LOW
PEOE_VSA14,355,0.8567544526677872,0.8323964920217484,-0.0047540003592172475,0.013929237106936387,MEDIUM
PEOE_VSA2,355,0.8582362766962329,0.8280798773276381,-0.0032721763307714813,0.009612622412826122,LOW
PEOE_VSA3,355,0.8590950866056885,0.8255677976290806,-0.0024133664213159545,0.007100542714268632,LOW
PEOE_VSA4,355,0.8615203248898211,0.8184321735707601,1.1871862816703604e-05,-3.508134405183494e-05,LOW
PEOE_VSA5,355,0.8590238539353511,0.8257764488638027,-0.002484599091653328,0.0073091939489907665,LOW
PEOE_VSA6,355,0.8601089268644057,0.8225923694601248,-0.001399526162598752,0.004125114545312836,LOW
PEOE_VSA7,355,0.8590569258744494,0.825679582723475,-0.002451527152555033,0.007212327808662988,LOW
PEOE_VSA8,355,0.8625883767250262,0.8152699044987468,0.0010799236980217897,-0.00319735041606517,LOW
PEOE_VSA9,355,0.8618093708798633,0.81757757844383,0.00030091785285890627,-0.000889676470981926,LOW
EState_VSA1,355,0.8611377178605769,0.8195620213536843,-0.0003707351664274938,0.0010947664388722966,LOW
EState_VSA10,355,0.8598167941315774,0.823450826062355,-0.001691658895426995,0.004983571147542998,LOW
EState_VSA11,355,0.8586583036318396,0.8268463724327809,-0.002850149395164814,0.008379117517968937,LOW
EState_VSA2,355,0.8609468114070997,0.8201251906269758,-0.0005616416199046848,0.0016579357121637717,LOW
EState_VSA3,355,0.8594093732797519,0.8246465742451423,-0.0020990797472525413,0.006179319330330335,LOW
EState_VSA4,355,0.8597400177072981,0.8236762915721861,-0.001768435319706274,0.005209036657374155,LOW
EState_VSA5,355,0.8588358313797424,0.8263269422177153,-0.002672621647262008,0.007859687302903318,LOW
EState_VSA6,355,0.8581356905450284,0.8283736005601554,-0.0033727624819760438,0.009906345645343428,LOW
EState_VSA7,355,0.8593498501907745,0.8248211247049319,-0.002158602836229928,0.00635386979011987,LOW
EState_VSA8,355,0.8596172423795303,0.8240367115740908,-0.0018912106474741064,0.005569456659278771,LOW
EState_VSA9,355,0.8608788165337531,0.8203256804313555,-0.0006296364932513177,0.0018584255165434715,LOW
FractionCSP3,355,0.8601316715829885,0.8225254945978184,-0.0013767814440158732,0.004058239683006448,LOW
MolLogP,355,0.8519476041105969,0.8462474940271622,-0.009560848916407516,0.02778023911235017,HIGH
