Experiment,Seed,R2,RMSE
FULL MODEL,42,0.8603948576277112,0.8217512694223935
FULL MODEL,101,0.8639258469260753,0.8112925644902284
FULL MODEL,202,0.8630942353834545,0.8137678787349746
FULL MODEL,303,0.8627550809789506,0.8147752221593833
FULL MODEL,404,0.861948213704863,0.8171667571445405
ONLY: PHYSICOCHEMICAL,42,0.8638662432262646,0.8114702277101248
ONLY: PHYSICOCHEMICAL,101,0.8642937606119878,0.8101950464693076
ONLY: PHYSICOCHEMICAL,202,0.8647282358191345,0.8088970521343981
ONLY: PHYSICOCHEMICAL,303,0.8632257326315177,0.8133769750192996
ONLY: PHYSICOCHEMICAL,404,0.863300283793554,0.8131552722639002
